page path;publishDate;cq:lastModified;cq:styleIds;linkItems;listFrom;maxItems;maxOnPageItems;orderBy;pages;paginationType;parentPage;childDepth;rss;showDescription;showEyebrow;showImage;showModificationDate;sortOrder;tags;tagsMatch;tagsSearchRoot
/content/usta-foundation/en/home/news/robin-montgomery-investing-in-game;;2026-05-06T15:04:44.067Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/fashion-icon-anna-wintour-honored-with-usta-foundation-paver-on-;;2026-05-06T15:11:53.373Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/-tennis-has-been-my-vehicle-to-serve---sloane-stephens-shares-he;2026-09-01T00:00:00.000-04:00;2026-09-01T20:13:49.474Z;list-horizontal-layout, min-4-columns, max-4-columns;TRUE;tags;4;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;usta:categories/about-usta/usta-foundation;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/six-student-athletes-awarded-first-grants-frances-tiafoe-fund;;2026-05-06T15:02:39.766Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;1;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/how-the-usta-foundation-and-realize-the-dream-are-set-to-inspire;;2026-05-06T15:15:18.564Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;desc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/njtl-student-athletes-white-house-visit;;2026-05-06T15:05:31.863Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/clervie-ngounoue-first-junior-grand-slam-australia;;2026-05-06T15:06:45.400Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-and-reginald-f--lewis-foundation-partner-to-empo;2026-04-15T00:00:00.000-04:00;2026-05-06T18:17:19.382Z;list-horizontal-layout, min-4-columns, max-4-columns;TRUE;tags;4;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;usta:categories/about-usta/usta-foundation;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/kathleen-wu-usta-foundation-president;;2026-05-06T15:05:06.828Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/chris-evert-usta-foundation-much-more;;2026-05-06T15:02:51.540Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
